team,roster_name,pos_roster,jersey,two_way,dob,age_at_season_start,match,fuzzy_suggestion
ATL,Zuby Ejiofor,F,20,False,2004-04-20,22,none,
ATL,Kingston Flemings,G,4,False,2007-01-03,19,none,
ATL,Henri Veesaar,C,13,False,2004-03-28,22,none,
BOS,Chris Cenac Jr.,F/C,12,False,2007-02-01,19,none,
BOS,Tucker DeVries,G/F,41,False,2002-12-07,23,none,
BOS,Dillon Mitchell,F,20,True,2003-10-03,23,none,
BOS,Milos Uzan,G,29,False,2002-12-26,23,none,
BRK,Tyler Bilodeau,F/C,34,True,2004-04-17,22,none,
BRK,Mikel Brown Jr.,G,0,False,2006-04-03,20,none,
BRK,Joshua Jefferson,F,9,False,2003-11-21,22,none,
CHI,Tobe Awaka,F,19,True,2004-01-30,22,none,
CHI,Jaylin Sellers,G,22,True,2003-06-03,23,none,
CHI,Dailyn Swain,G,5,False,2005-07-15,21,none,
CHI,Caleb Wilson,F,8,False,2006-07-18,20,none,
CHO,Michael Ajayi,F,10,True,2003-05-23,23,none,
CHO,Christian Anderson Jr.,G,5,False,2006-04-02,20,none,
CHO,Kylan Boswell,G,18,True,2005-04-28,21,none,
CHO,Hannes Steinbach,F,22,False,2006-05-01,20,none,
CLE,Khalifa Diop,C,18,False,2002-01-15,24,none,
CLE,Mario Hezonja,G/F,33,False,1995-02-25,31,none,
CLE,Meleek Thomas,G,15,False,2006-08-06,20,none,
CLE,Ernest Udeh Jr.,C,39,True,2004-01-08,22,none,
DAL,Sergio de Larrea,G,55,False,2005-12-04,20,none,
DAL,Morez Johnson Jr.,G,14,False,2006-01-25,20,none,
DAL,Tobi Lawal,F,33,True,2003-05-01,23,none,
DEN,Trevon Brazile,F,7,False,2003-01-07,23,none,
DEN,Alpha Diallo,F,11,False,1997-06-29,29,none,
DEN,Bryce Hopkins,F,13,True,2002-09-07,24,none,
DET,Ebuka Okorie,G,23,False,2007-04-10,19,none,
DET,Ugonna Onyenso,C,34,True,2004-09-25,22,none,
GSW,Lajae Jones,F,25,False,2004-05-21,22,none,
GSW,Yaxel Lendeborg,F,1,False,2002-09-30,24,none,
HOU,Rafael Castro,C,0,True,2003-03-30,23,none,
HOU,Quadir Copeland,G,25,True,2003-09-04,23,none,
HOU,Bruce Thornton,G,2,False,2003-09-14,23,none,
IND,Braden Smith,G,3,True,2003-07-25,23,none,
LAC,Nick Martinelli,F,12,True,2004-04-20,22,none,
LAC,Baba Miller,F,18,False,2004-02-07,22,none,
LAC,Keaton Wagler,G,1,False,2007-02-03,19,none,
LAL,Cameron Carr,G,43,False,2004-11-21,21,none,
LAL,Arthur Kaluma,F,47,True,2002-03-01,24,none,
LAL,AK Okereke,F,31,True,2003-07-02,23,none,
MEM,Cameron Boozer,F,27,False,2007-07-18,19,none,
MEM,Carson Cooper,C,20,True,2004-04-09,22,none,
MEM,Karim López,F,35,False,2007-04-12,19,none,
MIA,Ryan Conwell,G,4,False,2004-06-15,22,none,
MIA,Tre Donaldson,G,24,True,2003-12-11,22,none,
MIL,Nate Ament,F,15,False,2006-12-10,19,none,
MIL,Brayden Burries,G,0,False,2005-09-18,21,none,
MIL,Bogoljub Marković,F,23,False,2005-07-12,21,none,
MIN,Isaiah Evans,F,33,False,2005-12-06,20,none,
NOP,Malik Dia,F,8,True,2004-02-04,22,none,
NOP,Jaron Pierre Jr.,G,10,True,2002-07-12,24,none,
NYK,Tyler Nickel,F,55,False,2003-09-05,23,none,
OKC,Josh Dix,G,21,True,2004-06-29,22,none,
OKC,Aday Mara,C,15,False,2005-04-07,21,none,
OKC,Otega Oweh,G,13,True,2003-06-21,23,none,
OKC,Thomas Sorber,C,12,False,2005-12-25,20,none,
OKC,Bennett Stirtz,G,14,False,2003-10-03,23,none,
ORL,Izaiyah Nelson,F,25,True,2003-10-01,23,none,
PHI,Labaron Philon Jr.,G,0,False,2005-11-24,20,none,
PHO,Koa Peat,F,18,False,2007-01-20,19,none,
POR,Hansen Yang,C,16,False,2005-06-26,21,none,
SAC,Darius Acuff Jr.,G,5,False,2006-11-16,19,none,
SAC,Alex Karaban,F,33,False,2002-11-11,23,none,
SAC,Emanuel Sharp,G,34,False,2004-03-07,22,none,
SAS,Maliq Brown,F,15,True,2003-11-16,22,none,
SAS,Ja'Kobi Gillespie,G,17,True,2004-03-10,22,none,
SAS,Jayden Quaintance,F,22,False,2007-07-11,19,none,
SAS,Tarris Reed Jr.,C,10,False,2003-08-05,23,none,
TOR,Nate Bittle,C,12,False,2003-06-03,23,none,
TOR,Jaden Bradley,G,8,True,2003-09-14,23,none,
TOR,Allen Graves,F,22,False,2006-07-28,20,none,
UTA,Tamar Bates,G,0,True,2003-02-21,23,none,
UTA,Darryn Peterson,G,22,False,2007-01-17,19,none,
WAS,AJ Dybantsa,F,4,False,2007-01-29,19,none,
WAS,Felix Okpara,C,34,True,2004-04-20,22,none,
