team,season,roster_name,name_norm,pos_roster,jersey,two_way,height_in,weight_lb,dob,age_at_season_start,player_id,match
ATL,2026-27,Aaron Wiggins,aaron wiggins,F,2,False,77,190,1999-01-02,27,wiggiaa01,exact
ATL,2026-27,Asa Newell,asa newell,F,14,False,82,220,2005-10-05,21,newelas01,exact
ATL,2026-27,Buddy Hield,buddy hield,G,8,False,76,220,1992-12-17,33,hieldbu01,exact
ATL,2026-27,CJ McCollum,cj mccollum,G,3,False,75,190,1991-09-19,35,mccolcj01,exact
ATL,2026-27,Corey Kispert,corey kispert,F,24,False,78,224,1999-03-03,27,kispeco01,exact
ATL,2026-27,Devin Carter,devin carter,G,22,False,74,195,2002-03-18,24,cartede02,exact
ATL,2026-27,Dyson Daniels,dyson daniels,G,5,False,79,199,2003-03-17,23,daniedy01,exact
ATL,2026-27,Henri Veesaar,henri veesaar,C,13,False,84,225,2004-03-28,22,,none
ATL,2026-27,Jalen Johnson,jalen johnson,F,1,False,80,219,2001-12-18,24,johnsja05,exact
ATL,2026-27,Jalen Wilson,jalen wilson,F,12,True,78,220,2000-11-04,25,wilsoja03,exact
ATL,2026-27,Jock Landale,jock landale,C,31,False,83,255,1995-10-25,30,landajo01,exact
ATL,2026-27,Keshon Gilbert,keshon gilbert,G,51,True,76,200,2003-06-30,23,gilbeke01,exact
ATL,2026-27,Kingston Flemings,kingston flemings,G,4,False,76,190,2007-01-03,19,,none
ATL,2026-27,Luguentz Dort,luguentz dort,G,0,False,76,222,1999-04-19,27,dortlu01,exact
ATL,2026-27,Mouhamed Gueye,mouhamed gueye,F,18,False,83,210,2002-11-09,23,gueyemo02,exact
ATL,2026-27,Nickeil Alexander-Walker,nickeil alexander walker,G,7,False,77,205,1998-09-02,28,alexani01,exact
ATL,2026-27,Onyeka Okongwu,onyeka okongwu,F/C,17,False,82,240,2000-12-11,25,okongon01,exact
ATL,2026-27,RayJ Dennis,rayj dennis,G,0,True,73,180,2001-03-30,25,dennira01,exact
ATL,2026-27,Ryan Nembhard,ryan nembhard,G,19,False,71,180,2003-03-10,23,nembhry01,exact
ATL,2026-27,Zuby Ejiofor,zuby ejiofor,F,20,False,81,245,2004-04-20,22,,none
BOS,2026-27,Amari Williams,amari williams,F/C,77,True,83,250,2002-01-28,24,william01,exact
BOS,2026-27,Baylor Scheierman,baylor scheierman,G/F,55,False,78,205,2000-09-26,26,scheiba01,exact
BOS,2026-27,Chris Cenac Jr.,chris cenac,F/C,12,False,83,240,2007-02-01,19,,none
BOS,2026-27,Derrick White,derrick white,G,9,False,76,190,1994-07-02,32,whitede01,exact
BOS,2026-27,Dillon Mitchell,dillon mitchell,F,20,True,80,205,2003-10-03,23,,none
BOS,2026-27,Hugo González,hugo gonzalez,G/F,28,False,78,200,2006-02-04,20,gonzahu01,exact
BOS,2026-27,Jayson Tatum,jayson tatum,F,0,False,80,210,1998-03-03,28,tatumja01,exact
BOS,2026-27,Jordan Walsh,jordan walsh,F,27,False,78,205,2004-03-03,22,walshjo01,exact
BOS,2026-27,Luka Garza,luka garza,F/C,52,False,82,243,1998-12-27,27,garzalu01,exact
BOS,2026-27,Mike Conley Jr.,mike conley,G,45,False,73,175,1987-10-11,39,conlemi01,exact
