player_id,player_name,team_2526,mp_2526,mpg_2526
derozde01,DeMar DeRozan,SAC,2406.0,31.25
brownbr01,Bruce Brown,DEN,1998.0,24.37
durenja01,Jalen Duren,DET,1976.0,28.23
hachiru01,Rui Hachimura,LAL,1927.0,28.34
westbru01,Russell Westbrook,SAC,1853.0,28.95
schrode01,Dennis Schröder,2TM,1697.0,24.24
grantje01,Jerami Grant,POR,1695.0,29.74
mathube01,Bennedict Mathurin,2TM,1620.0,30.0
batumni01,Nicolas Batum,LAC,1295.0,17.5
konchjo01,John Konchar,2TM,1115.0,19.91
yabusgu01,Guerschon Yabusele,2TM,1007.0,15.03
agbajoc01,Ochai Agbaji,2TM,973.0,15.69
gillan01,Anthony Gill,WAS,951.0,17.29
peavymi01,Micah Peavy,NOP,913.0,14.97
poweldw01,Dwight Powell,DAL,904.0,14.35
thomaca02,Cam Thomas,2TM,881.0,20.98
vincega01,Gabe Vincent,2TM,879.0,16.58
valanjo01,Jonas Valančiūnas,DEN,871.0,13.4
willivi01,Vince Williams Jr.,2TM,820.0,20.5
pickeja02,Jalen Pickett,DEN,807.0,16.14
holidaa01,Aaron Holiday,HOU,781.0,13.7
martity01,Tyrese Martin,2TM,777.0,16.89
balllo01,Lonzo Ball,CLE,728.0,20.8
willigr01,Grant Williams,CHO,711.0,19.75
coopesh01,Sharife Cooper,WAS,700.0,17.07
hawkijo01,Jordan Hawkins,NOP,692.0,13.57
iveyja01,Jaden Ivey,2TM,670.0,18.11
thompet01,Ethan Thompson,IND,653.0,20.41
loveke01,Kevin Love,UTA,613.0,16.57
eubandr01,Drew Eubanks,SAC,552.0,13.14
harklej01,Elijah Harkless,UTA,545.0,20.96
wallake01,Keaton Wallace,ATL,536.0,10.11
cissemo01,Moussa Cisse,DAL,530.0,13.95
anthoco01,Cole Anthony,MIL,527.0,15.06
russeda01,D'Angelo Russell,DAL,495.0,19.04
peterta01,Taelon Peter,IND,492.0,12.95
mbengbe01,Bez Mbeng,UTA,492.0,32.8
coffeam01,Amir Coffey,2TM,490.0,10.65
klebima01,Maxi Kleber,LAL,461.0,10.72
johnsaj01,AJ Johnson,2TM,454.0,9.46
bradlto01,Tony Bradley,2TM,450.0,10.98
mcderdo01,Doug McDermott,SAC,439.0,15.14
blackle01,Leaky Black,WAS,433.0,28.87
hayeski01,Killian Hayes,SAC,406.0,17.65
reeseju01,Julian Reese,WAS,402.0,30.92
etienty01,Tyson Etienne,BRK,380.0,15.83
smithni01,Nick Smith Jr.,LAL,375.0,12.5
payneca01,Cameron Payne,PHI,374.0,17.0
robinje02,Jeremiah Robinson-Earl,2TM,361.0,16.41
weslebl01,Blake Wesley,POR,361.0,11.65
olynyke01,Kelly Olynyk,SAS,360.0,8.57
chandke01,Kennedy Chandler,UTA,355.0,32.27
whitmca01,Cam Whitmore,WAS,354.0,16.86
liddeej01,E.J. Liddell,BRK,349.0,13.42
liveris01,Isaiah Livers,PHO,347.0,9.64
olbrila01,Lachlan Olbrich,CHI,344.0,9.3
burtoty01,Tyler Burton,MEM,307.0,25.58
yangha01,Yang Hansen,POR,300.0,6.98
strusma01,Max Strus,CLE,288.0,24.0
waterli01,Lindy Waters III,SAS,285.0,7.12
branhma01,Malaki Branham,WAS,275.0,9.82
laniech01,Chaz Lanier,DET,262.0,7.71
reathdu01,Duop Reath,POR,258.0,8.06
balad01,Adama-Alpha Bal,MEM,241.0,30.12
willije02,Nate Williams,GSW,239.0,17.07
timmedr01,Drew Timme,LAL,235.0,8.7
jarrede01,DeJon Jarreau,MEM,231.0,21.0
paulch01,Chris Paul,LAC,228.0,14.25
lawsoaj01,A.J. Lawson,TOR,226.0,9.42
willilu01,Lucas Williamson,MEM,224.0,32.0
davisjd01,JD Davison,HOU,218.0,7.79
okanito01,Toby Okani,MEM,217.0,36.17
kawamyu01,Yuki Kawamura,CHI,209.0,11.61
