team,total_projected_minutes,target,pct_of_target,within_3pct
LAC,19737.4,19680,100.3,True
OKC,21500.4,19680,109.2,False
DEN,21771.0,19680,110.6,False
CHI,21779.2,19680,110.7,False
DET,22632.0,19680,115.0,False
SAC,22787.8,19680,115.8,False
CLE,23189.600000000002,19680,117.8,False
SAS,24009.6,19680,122.0,False
NYK,24132.6,19680,122.6,False
CHO,24813.2,19680,126.1,False
BOS,24829.6,19680,126.2,False
MIA,24977.2,19680,126.9,False
DAL,25133.0,19680,127.7,False
LAL,26092.399999999998,19680,132.6,False
TOR,26461.399999999998,19680,134.5,False
BRK,26568.0,19680,135.0,False
MIN,26707.4,19680,135.7,False
ORL,26805.8,19680,136.2,False
WAS,27068.2,19680,137.5,False
MEM,27076.4,19680,137.6,False
PHO,28060.399999999998,19680,142.6,False
NOP,28347.4,19680,144.0,False
UTA,28396.6,19680,144.3,False
PHI,29167.4,19680,148.2,False
HOU,29347.8,19680,149.1,False
POR,29356.0,19680,149.2,False
GSW,29716.8,19680,151.0,False
ATL,31086.2,19680,158.0,False
IND,31291.2,19680,159.0,False
MIL,31430.6,19680,159.7,False
