team,season,team_name,gp,w,l,pts_pg,fga_pg,fta_pg,oreb_pg,dreb_pg,tov_pg,pace_simple,pace_implied,minutes_share
MIA,2025-26,Miami Heat,82,43,39,120.9,93.3,25,11.8,34.5,13.7,106.2,103.43,1.0014
CHI,2025-26,Chicago Bulls,82,31,51,116.3,90.5,22.2,10.4,34.7,15.3,105.17,102.54,1.0037
UTA,2025-26,Utah Jazz,82,22,60,117.6,91.1,25.3,12,31.8,15.5,105.73,102.35,1.0077
DAL,2025-26,Dallas Mavericks,82,26,56,114.1,89.8,25.8,10.5,34.2,14.5,105.15,101.73,1.009
ATL,2025-26,Atlanta Hawks,82,46,36,118.5,92,21.5,11,32.6,14.2,104.66,101.69,1.0038
MEM,2025-26,Memphis Grizzlies,82,25,57,114.7,90.6,22.8,11.2,31,15.1,104.53,101.38,1.0026
WAS,2025-26,Washington Wizards,82,17,65,112.9,90.4,21.2,11,30.9,15.7,104.43,101.35,1.004
IND,2025-26,Indiana Pacers,82,19,63,112.4,89.1,22.5,9.8,32.1,14.5,103.7,101.01,1.0038
MIN,2025-26,Minnesota Timberwolves,82,49,33,118,88.5,25.3,11.1,33,14.8,103.33,100.58,1.0051
POR,2025-26,Portland Trail Blazers,82,42,40,115.5,90.1,25.2,14.1,31.9,17.3,104.39,100.55,1.0038
NOP,2025-26,New Orleans Pelicans,82,26,56,115.5,90.5,25.7,12.2,31.7,14.2,103.81,100.33,1.0064
SAS,2025-26,San Antonio Spurs,82,62,20,119.8,89.9,24.6,11.4,35.6,13.5,102.82,99.88,1.0025
ORL,2025-26,Orlando Magic,82,45,37,115.7,88.3,27.5,11,32.4,14.2,103.6,99.88,1.0076
CLE,2025-26,Cleveland Cavaliers,82,52,30,119.5,90,23.9,11.7,32.7,14,102.82,99.86,1.0038
PHI,2025-26,Philadelphia 76ers,82,45,37,115.9,90.3,24.8,11.8,31.8,13.6,103.01,99.44,1.0103
DET,2025-26,Detroit Pistons,82,60,22,117.8,89.5,26.1,13.1,32.5,15.1,102.98,99.25,1.0065
SAC,2025-26,Sacramento Kings,82,22,60,111,89,22.8,11.5,30.8,14.3,101.83,99.23,1.0039
OKC,2025-26,Oklahoma City Thunder,82,64,18,119,89.1,23.2,9.6,34.6,12.6,102.31,99.22,1.0088
GSW,2025-26,Golden State Warriors,82,37,45,114.6,88.8,21.1,11.4,31,15.7,102.38,99.03,1.0063
TOR,2025-26,Toronto Raptors,82,46,36,114.6,88.4,23.4,10.9,31.2,13.7,101.5,98.43,1.0052
DEN,2025-26,Denver Nuggets,82,54,28,122.1,87.8,25.8,9.8,34.2,12.9,102.25,98.3,1.0128
LAL,2025-26,Los Angeles Lakers,82,53,29,116.3,83.7,26.8,9.4,31.5,14.5,100.59,98.23,1.0013
MIL,2025-26,Milwaukee Bucks,82,32,50,110.6,85.5,19.1,8.9,31.8,15.2,100.2,97.58,1.0039
PHO,2025-26,Phoenix Suns,82,45,37,112.6,90.1,20.3,13,30.1,14.5,100.53,97.21,1.0037
BRK,2025-26,Brooklyn Nets,82,20,62,105.9,84.5,23,10.3,29,15.8,100.12,96.98,1.0038
NYK,2025-26,New York Knicks,82,53,29,116.5,89.4,21.3,12.7,32.9,13.6,99.67,96.86,1.0039
CHO,2025-26,Charlotte Hornets,82,44,38,116,88.9,21.7,12.8,33.3,15.4,101.05,96.79,1.0038
LAC,2025-26,LA Clippers,82,42,40,113.8,83.6,24.7,9.6,31,14.3,99.17,96.5,1.0052
HOU,2025-26,Houston Rockets,82,52,30,115.2,89.8,23.4,15,33.1,15.4,100.5,96.15,1.0114
BOS,2025-26,Boston Celtics,82,56,26,114.9,90.2,18.7,12.5,33.9,12.4,98.33,94.94,1.0026
