team,mp_2526_single_team,mp_vacated,pct_vacated,pts_p100_wtd_vacated,n_departed
LAL,19705.0,11342.0,57.6,20.9,12
DAL,19857.0,8930.0,45.0,21.8,15
MEM,19732.0,8874.0,45.0,21.5,21
PHI,19882.0,8735.0,43.9,20.7,16
SAC,19757.0,8419.0,42.6,23.3,13
CHI,19752.0,8299.0,42.0,23.2,18
CHO,19755.0,8182.0,41.4,26.1,11
LAC,19782.0,7959.0,40.2,23.8,15
DEN,19932.0,7724.0,38.8,21.9,8
DET,19807.0,7624.0,38.5,24.2,11
MIA,19707.0,7593.0,38.5,26.3,7
BRK,19754.0,6931.0,35.1,21.5,10
UTA,19831.0,6900.0,34.8,16.4,14
MIN,19781.0,6727.0,34.0,23.7,9
WAS,19758.0,6236.0,31.6,22.0,15
CLE,19755.0,6223.0,31.5,18.3,12
POR,19754.0,6111.0,30.9,20.1,9
OKC,19853.0,5805.0,29.2,20.2,8
ATL,19755.0,5675.0,28.7,20.7,13
MIL,19756.0,5624.0,28.5,26.0,11
IND,19754.0,5490.0,27.8,18.9,14
BOS,19731.0,4861.0,24.6,33.0,10
PHO,19753.0,4701.0,23.8,19.7,6
GSW,19804.0,4519.0,22.8,20.9,8
HOU,19905.0,3160.0,15.9,14.8,6
NOP,19805.0,3044.0,15.4,15.5,7
TOR,19782.0,2991.0,15.1,20.5,7
NYK,19757.0,2434.0,12.3,13.9,8
ORL,19830.0,1901.0,9.6,17.7,4
SAS,19730.0,1232.0,6.2,15.3,8
